task_id,task_name,video_id,split,official_subset,recipe_type,video_url,roi_start,roi_end,duration
0,UseAnalyticalBalance,-8NaVGEccgc,test,testing,0,https://www.youtube.com/embed/-8NaVGEccgc,6.548193874754826,57.99825973085562,112.778333
0,UseAnalyticalBalance,00n3IEqYBME,test,testing,0,https://www.youtube.com/embed/00n3IEqYBME,69.04943410685789,106.63705236862458,167.601622
0,UseAnalyticalBalance,4i6V7HTaaSI,test,testing,0,https://www.youtube.com/embed/4i6V7HTaaSI,81.84384210038273,153.8418556827464,178.422122
0,UseAnalyticalBalance,6iu9i8QE6Xk,test,testing,0,https://www.youtube.com/embed/6iu9i8QE6Xk,0.0,121.091667,121.091667
0,UseAnalyticalBalance,7Q-OdK-38G4,test,testing,0,https://www.youtube.com/embed/7Q-OdK-38G4,0.0,37.198367,37.198367
0,UseAnalyticalBalance,8nrt8d3uOJw,test,testing,0,https://www.youtube.com/embed/8nrt8d3uOJw,34.352607249267,115.333511,115.333511
0,UseAnalyticalBalance,9hsBX7dWzlE,test,testing,0,https://www.youtube.com/embed/9hsBX7dWzlE,18.478687369146797,125.87359418493907,165.766667
0,UseAnalyticalBalance,BUfVZWWssjo,test,testing,0,https://www.youtube.com/embed/BUfVZWWssjo,36.51271578976224,126.478333,126.478333
0,UseAnalyticalBalance,CDgoJTgIL80,test,testing,0,https://www.youtube.com/embed/CDgoJTgIL80,29.316759640622713,221.37306719751365,230.736689
0,UseAnalyticalBalance,MK3G36enoYk,test,testing,0,https://www.youtube.com/embed/MK3G36enoYk,4.322510535519015,90.20651354613207,127.64
0,UseAnalyticalBalance,NHfoLnnc1zc,test,testing,0,https://www.youtube.com/embed/NHfoLnnc1zc,39.6416283604187,75.72074070621346,85.194011
0,UseAnalyticalBalance,VaO8KbWiJBk,test,testing,0,https://www.youtube.com/embed/VaO8KbWiJBk,34.55694065514237,134.35938717062254,151.138333
0,UseAnalyticalBalance,W-zDSixAlJQ,test,testing,0,https://www.youtube.com/embed/W-zDSixAlJQ,6.491312296491978,31.008576452365315,37.871667
0,UseAnalyticalBalance,XmP0l_r7bBU,test,testing,0,https://www.youtube.com/embed/XmP0l_r7bBU,25.80380154022042,97.98205879041801,123.761667
0,UseAnalyticalBalance,a4k3ei2wEkw,test,testing,0,https://www.youtube.com/embed/a4k3ei2wEkw,78.77820677329309,116.06358435701623,142.57
0,UseAnalyticalBalance,gO7dPb3rQ8k,test,testing,0,https://www.youtube.com/embed/gO7dPb3rQ8k,13.746815388491736,217.422942794106,221.17
0,UseAnalyticalBalance,h0UR8dlCfVg,test,testing,0,https://www.youtube.com/embed/h0UR8dlCfVg,6.850572078386513,82.89047133603424,122.02
0,UseAnalyticalBalance,jBZKwwwkirM,test,testing,0,https://www.youtube.com/embed/jBZKwwwkirM,17.999076312379508,86.1042316004854,190.055
